ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),Location,Total Towers(Present),Total Towers(before 5 years)
20818,Lyca Mobile,MTower,681,Sparrow,57,Springfield,868,68
20819,T-Mobile,GTower,847,Spotted Dove,73,Indianapolis,839,67
20820,AT&T,LTower,466,Bulbul,63,Des Moines,615,174
20821,AT&T,MTower,809,Kite,23,Topeka,697,76
20822,Mint Mobile,GTower,606,Sparrow,69,Frankfort,279,130
20823,Lyca Mobile,LTower,639,Spotted Dove,63,Baton Rouge,330,176
20824,Verizon,GTower,510,Kite,51,Augusta,463,165
20825,T-Mobile,LTower,558,Bulbul,75,Annapolis,104,110
20826,Lyca Mobile,MTower,834,Sparrow,56,Boston,465,99
20827,AT&T,LTower,397,Bulbul,35,Lansing,418,95
20828,Mint Mobile,GTower,561,Kite,60,St. Paul,348,134
20829,Verizon,GTower,446,Spotted Dove,51,Jackson,246,265
20830,Lyca Mobile,MTower,490,Sparrow,78,Jefferson City,423,265
20831,T-Mobile,LTower,405,Sparrow,45,Helena,564,102
20832,AT&T,MTower,804,Bulbul,71,Lincoln,329,241
20833,AT&T,GTower,686,Kite,42,Carson City,426,152
20834,Mint Mobile,LTower,608,Bulbul,45,Concord,898,91
20835,Lyca Mobile,MTower,371,Sparrow,28,Trenton,637,52
20836,Verizon,GTower,786,Spotted Dove,71,Santa Fe,407,90
20837,T-Mobile,LTower,527,Kite,75,Albany,305,156
20838,Lyca Mobile,GTower,514,Bulbul,66,Raleigh,356,244
20839,AT&T,LTower,700,Sparrow,24,Bismarck,362,205
20840,Mint Mobile,MTower,387,Spotted Dove,35,Columbus,487,81
20841,Verizon,LTower,629,Bulbul,25,Oklahoma City,379,56
20842,Lyca Mobile,GTower,719,Kite,60,Salem,529,234
20843,T-Mobile,GTower,791,Sparrow,42,Harrisburg,289,292
20844,AT&T,MTower,641,Spotted Dove,80,Providence,460,216
20845,AT&T,LTower,329,Kite,39,Columbia,713,295
20846,Mint Mobile,MTower,379,Bulbul,71,Pierre,494,283
20847,Lyca Mobile,GTower,432,Sparrow,26,Nashville,730,237
20848,Verizon,LTower,535,Bulbul,32,Austin,590,132
20849,T-Mobile,MTower,317,Kite,22,Salt Lake City,552,128
20850,Lyca Mobile,GTower,644,Spotted Dove,39,Montpelier,297,138
20851,AT&T,LTower,791,Sparrow,51,Richmond,244,300
20852,Mint Mobile,GTower,648,Sparrow,75,Olympia,688,100
20853,Verizon,LTower,334,Bulbul,70,Charleston,558,74
20854,Lyca Mobile,MTower,718,Kite,61,Madison,473,67
20855,T-Mobile,LTower,579,Bulbul,77,Cheyenne,520,152
20856,AT&T,GTower,386,Sparrow,65,Alabama,100,243
20857,AT&T,GTower,481,Spotted Dove,46,Alaska,562,231
20858,Mint Mobile,MTower,484,Kite,53,Arizona,537,71
20859,Lyca Mobile,LTower,300,Bulbul,28,Arkansas,772,228
20860,Verizon,MTower,883,Sparrow,69,California,644,101
20861,T-Mobile,GTower,462,Spotted Dove,64,Colorado,721,51
20862,Lyca Mobile,LTower,835,Bulbul,25,Connecticut,482,283
20863,AT&T,MTower,693,Kite,30,Delaware,448,276
20864,Mint Mobile,GTower,841,Sparrow,27,Florida,297,171
20865,Verizon,LTower,766,Spotted Dove,23,Georgia,592,255
20866,Lyca Mobile,GTower,670,Kite,42,Hawaii,569,186
20867,T-Mobile,LTower,313,Bulbul,80,Idaho,830,93
20868,AT&T,MTower,637,Sparrow,80,Illinois,639,168
20869,AT&T,LTower,600,Bulbul,45,Indiana,230,164
20870,Mint Mobile,GTower,361,Kite,75,Iowa,299,247
20871,Lyca Mobile,GTower,647,Spotted Dove,49,Kansas,701,116
20872,Verizon,MTower,549,Sparrow,43,Kentucky,720,152
20873,T-Mobile,LTower,660,Sparrow,52,Louisiana,479,96
20874,Lyca Mobile,MTower,789,Bulbul,63,Maine,788,285
20875,AT&T,GTower,702,Kite,59,Maryland,900,199
20876,Mint Mobile,LTower,873,Bulbul,49,Massachusetts,548,126
20877,Verizon,MTower,524,Sparrow,28,Michigan,223,197
20878,Lyca Mobile,GTower,643,Spotted Dove,42,Minnesota,743,135
20879,T-Mobile,LTower,355,Kite,38,Mississippi,343,186
20880,AT&T,GTower,415,Bulbul,26,Missouri,336,186
20881,AT&T,LTower,755,Sparrow,23,Montana,524,248
20882,Mint Mobile,MTower,306,Spotted Dove,63,Nebraska,158,123
20883,Lyca Mobile,LTower,900,Bulbul,45,Nevada,175,249
20884,Verizon,GTower,750,Kite,52,New Hampshire,644,194
20885,T-Mobile,GTower,316,Sparrow,58,New Jersey,118,256
20886,Lyca Mobile,MTower,645,Spotted Dove,76,New Mexico,323,260
20887,AT&T,LTower,516,Kite,24,New York,804,108
20888,Mint Mobile,MTower,610,Bulbul,21,North Carolina,872,178
20889,Verizon,GTower,863,Sparrow,66,North Dakota,857,281
20890,Lyca Mobile,LTower,801,Bulbul,74,Ohio,681,205
20891,T-Mobile,MTower,392,Kite,20,Oklahoma,215,215
20892,AT&T,GTower,433,Spotted Dove,80,Oregon,667,57
20893,AT&T,LTower,658,Sparrow,23,Pennsylvania,669,94
20894,Mint Mobile,GTower,761,Sparrow,77,Rhode Island,754,142
20895,Lyca Mobile,LTower,828,Bulbul,54,South Carolina,494,141
20896,Verizon,MTower,815,Kite,37,South Dakota,839,263
20897,T-Mobile,LTower,630,Bulbul,63,Tennessee,893,172
20898,Lyca Mobile,GTower,351,Sparrow,65,Texas,863,167
20899,AT&T,GTower,303,Spotted Dove,54,Utah,637,199
20900,Mint Mobile,MTower,346,Kite,43,Vermont,114,54
20901,Verizon,LTower,626,Bulbul,56,Virginia,143,216
20902,Lyca Mobile,MTower,896,Sparrow,70,Washington,892,189
20903,T-Mobile,GTower,321,Spotted Dove,42,West Virginia,542,199
20904,AT&T,LTower,352,Bulbul,72,Wisconsin,511,114
20905,AT&T,MTower,879,Kite,62,Wyoming,729,97
20906,Mint Mobile,GTower,491,Sparrow,25,Montgomery,612,228
20907,Lyca Mobile,LTower,823,Spotted Dove,76,Juneau,781,195
20908,Verizon,GTower,694,Kite,63,Phoenix,439,217
20909,T-Mobile,LTower,789,Bulbul,58,Little Rock,542,227
20910,Lyca Mobile,MTower,387,Sparrow,57,Sacramento,199,262
20911,AT&T,LTower,593,Bulbul,36,Denver,182,120
20912,Mint Mobile,GTower,542,Kite,47,Hartford,736,286
20913,Verizon,GTower,671,Spotted Dove,52,Dover,441,292
20914,Lyca Mobile,MTower,774,Sparrow,30,Tallahassee,800,117
20915,T-Mobile,LTower,422,Sparrow,74,Atlanta,248,152
20916,AT&T,MTower,721,Bulbul,45,Honolulu,717,274
20917,AT&T,GTower,368,Kite,38,Boise,285,52
20918,Mint Mobile,LTower,464,Bulbul,28,Springfield,762,246
20919,Lyca Mobile,MTower,759,Sparrow,28,Indianapolis,501,254
20920,Verizon,GTower,649,Spotted Dove,56,Des Moines,257,187
20921,T-Mobile,LTower,799,Kite,38,Topeka,143,54
20922,Lyca Mobile,GTower,383,Bulbul,47,Frankfort,363,127
20923,AT&T,LTower,767,Sparrow,54,Baton Rouge,535,124
20924,Mint Mobile,MTower,832,Spotted Dove,55,Augusta,590,106
20925,Verizon,LTower,409,Bulbul,78,Annapolis,514,287
20926,Lyca Mobile,GTower,343,Kite,31,Boston,179,96
20927,T-Mobile,GTower,781,Sparrow,33,Lansing,245,145
20928,AT&T,MTower,738,Spotted Dove,64,St. Paul,268,76
20929,AT&T,LTower,431,Kite,21,Jackson,199,103
20930,Mint Mobile,MTower,891,Bulbul,51,Jefferson City,354,77
20931,Lyca Mobile,GTower,820,Sparrow,22,Helena,567,127
20932,Verizon,LTower,329,Bulbul,77,Lincoln,121,274
20933,T-Mobile,MTower,819,Kite,25,Carson City,482,97
20934,Lyca Mobile,GTower,418,Spotted Dove,29,Concord,609,257
20935,AT&T,LTower,889,Sparrow,54,Trenton,105,206
20936,Mint Mobile,GTower,335,Sparrow,33,Santa Fe,360,232
20937,Verizon,LTower,441,Bulbul,56,Albany,105,259
20938,Lyca Mobile,MTower,836,Kite,43,Raleigh,378,284
20939,T-Mobile,LTower,631,Bulbul,62,Bismarck,897,97
20940,AT&T,GTower,459,Sparrow,29,Columbus,290,97
20941,AT&T,GTower,427,Spotted Dove,70,Oklahoma City,690,117
20942,Mint Mobile,MTower,446,Kite,50,Salem,296,64
20943,Lyca Mobile,LTower,300,Bulbul,65,Harrisburg,309,74
20944,Verizon,MTower,739,Sparrow,45,Providence,509,226
20945,T-Mobile,GTower,515,Spotted Dove,29,Columbia,826,230
20946,Lyca Mobile,LTower,848,Bulbul,22,Pierre,436,93
20947,AT&T,MTower,792,Kite,53,Nashville,858,268
20948,Mint Mobile,GTower,620,Sparrow,74,Austin,395,150
20949,Verizon,LTower,780,Spotted Dove,32,Salt Lake City,535,278
20950,Lyca Mobile,GTower,811,Kite,53,Montpelier,144,143
20951,T-Mobile,LTower,391,Bulbul,30,Richmond,889,135
20952,AT&T,MTower,411,Sparrow,62,Olympia,609,115
20953,AT&T,LTower,411,Bulbul,49,Charleston,176,230
20954,Mint Mobile,GTower,712,Kite,70,Madison,447,172
20955,Lyca Mobile,GTower,538,Spotted Dove,60,Cheyenne,380,104
20956,Verizon,MTower,652,Sparrow,80,Alabama,616,69
20957,T-Mobile,LTower,408,Sparrow,74,Alaska,617,230
20958,Lyca Mobile,MTower,472,Bulbul,38,Arizona,252,85
20959,AT&T,GTower,765,Kite,55,Arkansas,252,156
20960,Mint Mobile,LTower,753,Bulbul,63,California,608,139
20961,Verizon,MTower,377,Sparrow,59,Colorado,576,279
20962,Lyca Mobile,GTower,755,Spotted Dove,79,Connecticut,245,246
20963,T-Mobile,LTower,478,Kite,43,Delaware,504,141
20964,AT&T,GTower,358,Bulbul,69,Florida,755,165
20965,AT&T,LTower,766,Sparrow,79,Georgia,360,209
20966,Mint Mobile,MTower,375,Spotted Dove,74,Hawaii,700,117
20967,Lyca Mobile,LTower,683,Bulbul,61,Idaho,416,200
20968,Verizon,GTower,470,Kite,25,Illinois,896,180
20969,T-Mobile,GTower,514,Sparrow,67,Indiana,288,109
20970,Lyca Mobile,MTower,435,Spotted Dove,79,Iowa,130,100
20971,AT&T,LTower,504,Kite,58,Kansas,343,269
20972,Mint Mobile,MTower,534,Bulbul,41,Kentucky,562,179
20973,Verizon,GTower,517,Sparrow,46,Louisiana,644,59
20974,Lyca Mobile,LTower,752,Bulbul,71,Maine,491,98
20975,T-Mobile,MTower,375,Kite,61,Maryland,253,90
20976,AT&T,GTower,435,Spotted Dove,53,Massachusetts,565,213
20977,AT&T,LTower,835,Sparrow,39,Michigan,262,65
20978,Mint Mobile,GTower,441,Sparrow,76,Minnesota,234,180
20979,Lyca Mobile,LTower,338,Bulbul,75,Mississippi,241,229
20980,Verizon,MTower,475,Kite,26,Missouri,123,171
20981,T-Mobile,LTower,348,Bulbul,63,Montana,119,132
20982,Lyca Mobile,GTower,839,Sparrow,42,Nebraska,546,207
20983,AT&T,GTower,888,Spotted Dove,76,Nevada,704,153
20984,Mint Mobile,MTower,311,Kite,46,New Hampshire,842,95
20985,Verizon,LTower,797,Bulbul,20,New Jersey,667,93
20986,Lyca Mobile,MTower,487,Sparrow,57,New Mexico,434,153
20987,T-Mobile,GTower,419,Spotted Dove,38,New York,392,209
20988,AT&T,LTower,316,Bulbul,72,North Carolina,843,153
20989,AT&T,MTower,310,Kite,64,North Dakota,345,196
20990,Mint Mobile,GTower,672,Sparrow,49,Ohio,412,232
20991,Lyca Mobile,LTower,723,Spotted Dove,80,Oklahoma,242,78
20992,Verizon,GTower,605,Kite,66,Vermont,548,200
20993,T-Mobile,LTower,582,Bulbul,40,Virginia,739,172
20994,Lyca Mobile,MTower,511,Sparrow,66,Washington,706,204
20995,AT&T,LTower,596,Bulbul,60,West Virginia,736,190
20996,Mint Mobile,GTower,393,Kite,62,Wisconsin,766,98
20997,Verizon,GTower,523,Spotted Dove,26,Wyoming,889,212
20998,Lyca Mobile,MTower,494,Sparrow,42,Montgomery,725,83
20999,T-Mobile,LTower,542,Sparrow,23,Juneau,503,55
21000,AT&T,MTower,357,Bulbul,63,Phoenix,375,160
21001,AT&T,GTower,595,Kite,70,Little Rock,217,202
21002,Mint Mobile,LTower,657,Bulbul,77,Sacramento,612,164
21003,Lyca Mobile,MTower,772,Sparrow,45,Denver,272,151
21004,Verizon,GTower,548,Spotted Dove,79,Hartford,155,121
21005,T-Mobile,LTower,317,Kite,72,Dover,606,293
21006,Lyca Mobile,GTower,539,Bulbul,26,Tallahassee,753,122
21007,AT&T,LTower,621,Sparrow,23,Atlanta,458,201
21008,Mint Mobile,MTower,798,Spotted Dove,23,Honolulu,181,144
21009,Verizon,LTower,303,Bulbul,62,Boise,648,135
21010,Lyca Mobile,GTower,435,Kite,80,Springfield,658,180
21011,T-Mobile,GTower,610,Sparrow,80,Indianapolis,864,236
21012,AT&T,MTower,695,Spotted Dove,79,Des Moines,741,251
21013,AT&T,LTower,671,Kite,42,Topeka,721,224
21014,Mint Mobile,MTower,825,Bulbul,72,Frankfort,174,152
21015,Lyca Mobile,GTower,459,Sparrow,36,Baton Rouge,304,90
21016,Verizon,LTower,682,Bulbul,37,Augusta,194,258
21017,T-Mobile,MTower,679,Kite,49,Annapolis,305,264
21018,Lyca Mobile,GTower,415,Spotted Dove,32,Boston,343,279
21019,AT&T,LTower,433,Sparrow,79,Lansing,650,52
21020,Mint Mobile,GTower,459,Sparrow,44,St. Paul,243,246
21021,Verizon,LTower,645,Bulbul,58,Jackson,850,276
21022,Lyca Mobile,MTower,433,Kite,22,Jefferson City,596,292
21023,T-Mobile,LTower,481,Bulbul,42,Helena,727,118
21024,AT&T,GTower,423,Sparrow,47,Lincoln,123,292
21025,AT&T,GTower,692,Spotted Dove,58,Carson City,664,274
21026,Mint Mobile,MTower,822,Kite,63,Concord,172,204
21027,Lyca Mobile,LTower,558,Bulbul,64,Trenton,507,177
21028,Verizon,MTower,726,Sparrow,61,Santa Fe,414,92
21029,T-Mobile,GTower,771,Spotted Dove,50,Albany,515,116
21030,Lyca Mobile,LTower,785,Bulbul,64,Raleigh,440,187
21031,AT&T,MTower,448,Kite,46,Bismarck,104,236
21032,Mint Mobile,GTower,826,Sparrow,50,Columbus,156,251
21033,Verizon,LTower,495,Spotted Dove,80,Oklahoma City,694,242
21034,Lyca Mobile,GTower,855,Kite,58,Salem,614,250
21035,T-Mobile,LTower,477,Bulbul,78,Harrisburg,478,259
21036,AT&T,MTower,740,Sparrow,63,Providence,331,245
21037,AT&T,LTower,854,Bulbul,59,Columbia,504,59
21038,Mint Mobile,GTower,615,Kite,49,Pierre,482,141
21039,Lyca Mobile,GTower,739,Spotted Dove,44,Nashville,242,274
21040,Verizon,MTower,661,Sparrow,50,Austin,379,113
21041,T-Mobile,LTower,758,Sparrow,75,Salt Lake City,627,137
21042,Lyca Mobile,MTower,469,Bulbul,69,Montpelier,402,71
21043,AT&T,GTower,729,Kite,61,Richmond,628,211
21044,Mint Mobile,LTower,336,Bulbul,58,Olympia,259,106
21045,Verizon,MTower,571,Sparrow,73,Charleston,364,90
21046,Lyca Mobile,GTower,466,Spotted Dove,74,Madison,505,228
21047,T-Mobile,LTower,468,Kite,53,Cheyenne,338,300
21048,AT&T,GTower,793,Bulbul,40,Alabama,189,112
21049,AT&T,LTower,658,Sparrow,74,Alaska,254,259
21050,Mint Mobile,MTower,310,Spotted Dove,68,Arizona,839,241
21051,Lyca Mobile,LTower,498,Bulbul,38,Arkansas,584,231
21052,Verizon,GTower,544,Kite,31,California,665,167
21053,T-Mobile,GTower,526,Sparrow,61,Colorado,388,232
21054,Lyca Mobile,MTower,392,Spotted Dove,71,Connecticut,353,202
21055,AT&T,LTower,483,Kite,57,Delaware,254,200
21056,Mint Mobile,MTower,457,Bulbul,45,Florida,552,207
21057,Verizon,GTower,783,Sparrow,68,Georgia,593,59
21058,Lyca Mobile,LTower,541,Bulbul,76,Hawaii,651,136
21059,T-Mobile,MTower,852,Kite,27,Idaho,727,51
21060,AT&T,GTower,642,Spotted Dove,25,Illinois,433,294
21061,AT&T,LTower,791,Sparrow,35,Indiana,354,176
21062,Mint Mobile,GTower,343,Sparrow,48,Iowa,695,128
21063,Lyca Mobile,LTower,851,Bulbul,76,Kansas,628,138
21064,Verizon,MTower,813,Kite,35,Kentucky,137,198
21065,T-Mobile,LTower,429,Bulbul,49,Louisiana,796,197
21066,Lyca Mobile,GTower,816,Sparrow,80,Maine,240,223
21067,AT&T,GTower,536,Spotted Dove,43,Maryland,627,94
21068,Mint Mobile,MTower,877,Kite,69,Massachusetts,217,134
21069,Verizon,LTower,558,Bulbul,47,Michigan,861,140
21070,Lyca Mobile,MTower,549,Sparrow,49,Minnesota,425,294
21071,T-Mobile,GTower,594,Spotted Dove,57,Mississippi,589,289
21072,AT&T,LTower,753,Bulbul,31,Missouri,731,86
21073,AT&T,MTower,493,Kite,52,Montana,822,94
21074,Mint Mobile,GTower,345,Sparrow,25,Nebraska,566,256
21075,Lyca Mobile,LTower,372,Spotted Dove,56,Nevada,794,175
21076,Verizon,GTower,815,Kite,56,New Hampshire,745,137
21077,T-Mobile,LTower,506,Bulbul,57,New Jersey,111,129
21078,Lyca Mobile,MTower,891,Sparrow,29,New Mexico,602,167
21079,AT&T,LTower,678,Bulbul,45,New York,243,197
21080,Mint Mobile,GTower,490,Kite,54,North Carolina,450,117
21081,Verizon,GTower,739,Spotted Dove,59,North Dakota,569,136
21082,Lyca Mobile,MTower,771,Sparrow,28,Ohio,900,167
21083,T-Mobile,LTower,474,Sparrow,23,Oklahoma,226,173
21084,AT&T,MTower,553,Bulbul,55,Oregon,595,196
21085,AT&T,GTower,843,Kite,43,Pennsylvania,726,206
21086,Mint Mobile,LTower,695,Bulbul,44,Rhode Island,508,298
21087,Lyca Mobile,MTower,693,Sparrow,56,South Carolina,898,154
21088,Verizon,GTower,635,Spotted Dove,64,South Dakota,811,213
21089,T-Mobile,LTower,897,Kite,41,Tennessee,358,83
21090,Lyca Mobile,GTower,343,Bulbul,62,Texas,388,251
21091,AT&T,LTower,811,Sparrow,41,Utah,560,211
21092,Mint Mobile,MTower,788,Spotted Dove,20,Vermont,286,143
21093,Verizon,LTower,685,Bulbul,69,Virginia,125,66
21094,Lyca Mobile,GTower,342,Kite,26,Washington,864,243
21095,T-Mobile,GTower,475,Sparrow,56,West Virginia,807,94
21096,AT&T,MTower,450,Spotted Dove,80,Wisconsin,595,202
21097,AT&T,LTower,328,Kite,58,Wyoming,762,65
21098,Mint Mobile,MTower,736,Bulbul,66,Montgomery,839,77
21099,Lyca Mobile,GTower,365,Sparrow,57,Juneau,309,72
21100,Verizon,LTower,344,Bulbul,22,Phoenix,888,178
21101,T-Mobile,MTower,769,Kite,52,Little Rock,723,57
21102,Lyca Mobile,GTower,657,Spotted Dove,56,Sacramento,199,186
21103,AT&T,LTower,538,Sparrow,69,Denver,122,231
21104,Mint Mobile,GTower,874,Sparrow,45,Hartford,529,273
21105,Verizon,LTower,828,Bulbul,41,Dover,686,198
21106,Lyca Mobile,MTower,685,Kite,28,Tallahassee,654,75
21107,T-Mobile,LTower,569,Bulbul,45,Atlanta,582,144
21108,AT&T,GTower,785,Sparrow,21,Honolulu,319,218
21109,AT&T,GTower,786,Spotted Dove,43,Boise,345,84
21110,Mint Mobile,MTower,470,Kite,27,Springfield,472,55
21111,Lyca Mobile,LTower,841,Bulbul,65,Indianapolis,490,231
21112,Verizon,MTower,426,Sparrow,63,Des Moines,359,176
21113,T-Mobile,GTower,822,Spotted Dove,76,Topeka,700,228
21114,Lyca Mobile,LTower,385,Bulbul,32,Frankfort,114,87
21115,AT&T,MTower,791,Kite,31,Baton Rouge,847,57
21116,Mint Mobile,GTower,562,Sparrow,53,Augusta,323,102
21117,Verizon,LTower,721,Spotted Dove,64,Annapolis,586,148
21118,Lyca Mobile,GTower,720,Kite,24,Boston,246,185
21119,T-Mobile,LTower,804,Bulbul,48,Lansing,520,174
21120,AT&T,MTower,719,Sparrow,36,St. Paul,521,251
21121,AT&T,LTower,691,Bulbul,66,Jackson,386,294
21122,Mint Mobile,GTower,815,Kite,27,Jefferson City,699,122
21123,Lyca Mobile,GTower,335,Spotted Dove,33,Helena,486,230
21124,Verizon,MTower,557,Sparrow,76,Lincoln,121,291
21125,T-Mobile,LTower,740,Sparrow,72,Carson City,148,157
21126,Lyca Mobile,MTower,420,Bulbul,61,Concord,768,278
21127,AT&T,GTower,516,Kite,72,Trenton,326,195
21128,Mint Mobile,LTower,900,Bulbul,71,Santa Fe,818,241
21129,Verizon,MTower,882,Sparrow,23,Albany,471,242
21130,Lyca Mobile,GTower,896,Spotted Dove,73,Raleigh,233,184
21131,T-Mobile,LTower,727,Kite,43,Bismarck,426,51
21132,AT&T,GTower,437,Bulbul,37,Columbus,824,232
21133,AT&T,LTower,403,Sparrow,53,Oklahoma City,186,255
21134,Mint Mobile,MTower,347,Spotted Dove,58,Salem,401,210
21135,Lyca Mobile,LTower,335,Bulbul,52,Harrisburg,214,243
21136,Verizon,GTower,439,Kite,43,Providence,198,179
21137,T-Mobile,GTower,832,Sparrow,20,Columbia,289,205
21138,Lyca Mobile,MTower,669,Spotted Dove,65,Pierre,344,194
21139,AT&T,LTower,755,Kite,49,Nashville,691,94
21140,Mint Mobile,MTower,426,Bulbul,68,Austin,787,198
21141,Verizon,GTower,663,Sparrow,21,Salt Lake City,124,124
21142,Lyca Mobile,LTower,448,Bulbul,64,Montpelier,293,163
21143,T-Mobile,MTower,489,Kite,36,Richmond,826,295
21144,AT&T,GTower,579,Spotted Dove,46,Olympia,262,199
21145,AT&T,LTower,813,Sparrow,75,Charleston,473,179
21146,Mint Mobile,GTower,468,Sparrow,47,Madison,345,208
21147,Lyca Mobile,LTower,512,Bulbul,30,Cheyenne,617,139
21148,Verizon,MTower,510,Kite,52,Alabama,331,174
21149,T-Mobile,LTower,516,Bulbul,55,Alaska,705,107
21150,Lyca Mobile,GTower,585,Sparrow,35,Arizona,737,97
21151,AT&T,GTower,878,Spotted Dove,70,Arkansas,304,203
21152,Mint Mobile,MTower,465,Kite,57,California,718,276
21153,Verizon,LTower,570,Bulbul,59,Colorado,822,104
21154,Lyca Mobile,MTower,780,Sparrow,60,Connecticut,511,168
21155,T-Mobile,GTower,613,Spotted Dove,55,Delaware,208,294
21156,AT&T,LTower,684,Bulbul,41,Florida,261,106
21157,AT&T,MTower,800,Kite,66,Georgia,672,291
21158,Mint Mobile,GTower,497,Sparrow,23,Hawaii,676,110
21159,Lyca Mobile,LTower,415,Spotted Dove,80,Idaho,695,284
21160,Verizon,GTower,611,Kite,53,Illinois,222,210
21161,T-Mobile,LTower,792,Bulbul,26,Indiana,855,282
21162,Lyca Mobile,MTower,734,Sparrow,30,Iowa,660,234
21163,AT&T,LTower,346,Bulbul,58,Kansas,363,68
21164,Mint Mobile,GTower,753,Kite,26,Kentucky,651,206
21165,Verizon,GTower,342,Spotted Dove,46,Louisiana,402,85
21166,Lyca Mobile,MTower,304,Sparrow,38,Maine,308,81
21167,T-Mobile,LTower,543,Sparrow,72,Maryland,135,274
21168,AT&T,MTower,895,Bulbul,71,Massachusetts,487,240
21169,AT&T,GTower,539,Kite,40,Michigan,426,231
21170,Mint Mobile,LTower,599,Bulbul,57,Minnesota,438,185
21171,Lyca Mobile,MTower,532,Sparrow,71,Mississippi,438,87
21172,Verizon,GTower,626,Spotted Dove,26,Missouri,584,141
21173,T-Mobile,LTower,680,Kite,60,Montana,364,91
21174,Lyca Mobile,GTower,358,Bulbul,28,Nebraska,128,148
21175,AT&T,LTower,834,Sparrow,74,Nevada,749,114
21176,Mint Mobile,MTower,875,Spotted Dove,24,New Hampshire,376,287
21177,Verizon,LTower,707,Bulbul,25,New Jersey,140,221
21178,Lyca Mobile,GTower,680,Kite,27,New Mexico,176,59
21179,T-Mobile,GTower,415,Sparrow,37,New York,546,119
21180,AT&T,MTower,847,Spotted Dove,53,North Carolina,845,58
21181,AT&T,LTower,882,Kite,20,North Dakota,484,250
21182,Mint Mobile,MTower,567,Bulbul,41,Ohio,205,231
21183,Lyca Mobile,GTower,574,Sparrow,34,Oklahoma,550,226
21184,Verizon,LTower,601,Bulbul,60,Vermont,188,126
21185,T-Mobile,MTower,742,Kite,52,Virginia,739,193
21186,Lyca Mobile,GTower,661,Spotted Dove,59,Washington,842,220
21187,AT&T,LTower,860,Sparrow,57,West Virginia,317,225
21188,Mint Mobile,GTower,348,Sparrow,57,Wisconsin,740,133
21189,Verizon,LTower,361,Bulbul,26,Wyoming,793,98
21190,Lyca Mobile,MTower,338,Kite,52,Montgomery,838,250
21191,T-Mobile,LTower,367,Bulbul,28,Juneau,408,80
21192,AT&T,GTower,394,Sparrow,69,Phoenix,230,85
21193,AT&T,GTower,435,Spotted Dove,22,Little Rock,209,63
21194,Mint Mobile,MTower,482,Kite,37,Sacramento,228,53
21195,Lyca Mobile,LTower,876,Bulbul,25,Denver,849,113
21196,Verizon,MTower,677,Sparrow,37,Hartford,570,258
21197,T-Mobile,GTower,879,Spotted Dove,59,Dover,414,95
21198,Lyca Mobile,LTower,403,Bulbul,39,Tallahassee,619,189
21199,AT&T,MTower,593,Kite,63,Atlanta,561,102
21200,Mint Mobile,GTower,676,Sparrow,50,Honolulu,823,115
21201,Verizon,LTower,693,Spotted Dove,27,Boise,224,155
21202,Lyca Mobile,GTower,581,Kite,71,Springfield,511,150
21203,T-Mobile,LTower,704,Bulbul,69,Indianapolis,123,105
21204,AT&T,MTower,643,Sparrow,71,Des Moines,408,57
21205,AT&T,LTower,729,Bulbul,29,Topeka,687,156
21206,Mint Mobile,GTower,824,Kite,32,Frankfort,428,172
21207,Lyca Mobile,GTower,368,Spotted Dove,70,Baton Rouge,169,263
21208,Verizon,MTower,795,Sparrow,60,Augusta,841,203
21209,T-Mobile,LTower,790,Sparrow,36,Annapolis,425,285
21210,Lyca Mobile,MTower,700,Bulbul,80,Boston,411,66
21211,AT&T,GTower,686,Kite,49,Lansing,283,211
21212,Mint Mobile,LTower,606,Bulbul,49,St. Paul,687,259
21213,Verizon,MTower,334,Sparrow,65,Jackson,887,295
21214,Lyca Mobile,GTower,587,Spotted Dove,24,Jefferson City,576,123
21215,T-Mobile,LTower,427,Kite,50,Helena,756,209
21216,AT&T,GTower,683,Bulbul,35,Lincoln,533,168
21217,AT&T,LTower,653,Sparrow,40,Carson City,291,227
21218,Mint Mobile,MTower,355,Spotted Dove,36,Concord,889,207
21219,Lyca Mobile,LTower,852,Bulbul,70,Trenton,600,227
21220,Verizon,GTower,817,Kite,31,Santa Fe,531,124
21221,T-Mobile,GTower,320,Sparrow,24,Albany,847,57
21222,Lyca Mobile,MTower,840,Spotted Dove,60,Raleigh,711,192
21223,AT&T,LTower,690,Kite,46,Bismarck,734,106
21224,Mint Mobile,MTower,742,Bulbul,55,Columbus,504,114
21225,Verizon,GTower,814,Sparrow,31,Oklahoma City,425,105
21226,Lyca Mobile,LTower,542,Bulbul,75,Salem,682,175
21227,T-Mobile,MTower,398,Kite,67,Harrisburg,193,290
21228,AT&T,GTower,886,Spotted Dove,47,Providence,608,168
21229,AT&T,LTower,441,Sparrow,45,Columbia,370,100
21230,Mint Mobile,GTower,518,Sparrow,43,Pierre,152,88
21231,Lyca Mobile,LTower,413,Bulbul,61,Nashville,439,228
21232,Verizon,MTower,752,Kite,48,Austin,724,104
21233,T-Mobile,LTower,357,Bulbul,32,Salt Lake City,712,53
21234,Lyca Mobile,GTower,514,Sparrow,78,Montpelier,643,145
21235,AT&T,GTower,776,Spotted Dove,40,Richmond,516,50
21236,Mint Mobile,MTower,567,Kite,25,Olympia,816,239
21237,Verizon,LTower,392,Bulbul,38,Charleston,338,89
